"Project","generator-liberty"
"Directory Scanned","/home/travis/build/arf/java-codegen-liberty/generator-liberty/production/java-codegen-liberty/generator-liberty"
"Date","2017-11-17T16:22:35.786Z"
"CLI Version","2.2.13"
"WILD Version","1.0.34"
""
"Name","Version","Need Pedigree Review","Reason","Review Level","License Types","Declared License","License Status","Path"
"@arf/generator-liberty","2.1.2","true","New package and not exempt","","Apache-2.0,BSD-2-Clause,BSD-3-Clause,CC-BY-3.0","Apache-2.0","Needs Legal Approval",""
"@arf/java-common","2.0.5","true","New package and not exempt","","Apache-2.0","Apache-2.0","Approved","node_modules/@arf/java-common"
"ajv","5.3.0","true","New version and not exempt","","BSD-2-Clause,MIT","MIT","Approved","node_modules/ajv"
"align-text","0.1.4","false","Exempt - Version closely related to 0.1.3","2","MIT","MIT","Approved","node_modules/align-text"
"amdefine","1.0.1","false","Exempt - Version closely related to 1.0.0","2","BSD-3-Clause,KEYWORD,MIT,UNKNOWN","BSD-3-Clause","Needs Review","node_modules/amdefine"
"ansi-escapes","1.4.0","false","Previously pedigree reviewed","2","MIT","MIT","Approved","node_modules/ansi-escapes"
"ansi-regex","2.1.1","false","Previously pedigree reviewed","2","MIT","MIT","Approved","node_modules/ansi-regex"
"ansi-styles","2.2.1","false","Previously pedigree reviewed","2","MIT","MIT","Approved","node_modules/ansi-styles"
"array-differ","1.0.0","false","Previously pedigree reviewed","2","","MIT","Approved | Reference Only","node_modules/array-differ"
"array-union","1.0.2","false","Exempt - Version closely related to 1.0.1","2","MIT","MIT","Approved","node_modules/array-union"
"array-uniq","1.0.3","false","Exempt - Version closely related to 1.0.2","2","MIT","MIT","Approved","node_modules/array-uniq"
"arrify","1.0.1","false","Previously pedigree reviewed","2","MIT","MIT","Approved","node_modules/arrify"
"asn1","0.2.3","false","Exempt - Version closely related to 0.2.2","2","MIT","MIT","Approved","node_modules/asn1"
"assert-plus","1.0.0","false","Previously pedigree reviewed","2","MIT","MIT","Approved","node_modules/assert-plus"
"async","1.5.2","false","Previously pedigree reviewed","2","MIT","MIT","Approved","node_modules/async"
"asynckit","0.4.0","false","Previously pedigree reviewed","2","MIT","MIT","Approved","node_modules/asynckit"
"aws-sign2","0.7.0","false","Exempt - Expected license matched","2","Apache-2.0","Apache-2.0","Approved","node_modules/aws-sign2"
"aws4","1.6.0","false","Previously pedigree reviewed","2","MIT","MIT","Approved","node_modules/aws4"
"balanced-match","1.0.0","false","Previously pedigree reviewed","2","MIT","MIT","Approved","node_modules/balanced-match"
"bcrypt-pbkdf","1.0.1","false","Exempt - Version closely related to 1.0.0","2","BSD-3-Clause,ISC","BSD-3-Clause","Approved","node_modules/bcrypt-pbkdf"
"binary","0.3.0","false","Previously pedigree reviewed","2","","MIT","Approved | Reference Only","node_modules/binary"
"binaryextensions","2.0.0","false","Previously pedigree reviewed","2","KEYWORD,MIT,UNKNOWN","MIT","Needs Review","node_modules/binaryextensions"
"bluebird","3.5.1","false","Exempt - Version closely related to 3.5.0","2","MIT","MIT","Approved","node_modules/bluebird"
"boom","4.3.1","false","Exempt - Expected license matched","2","BSD-3-Clause","BSD-3-Clause","Approved","node_modules/boom"
"brace-expansion","1.1.8","false","Exempt - Version closely related to 1.1.6","2","MIT","MIT","Approved","node_modules/brace-expansion"
"buffers","0.1.1","false","Exempt - Version closely related to 0.1.0","2","","","No license information available","node_modules/buffers"
"builtin-modules","1.1.1","false","Exempt - Version closely related to 1.1.0","2","MIT","MIT","Approved","node_modules/builtin-modules"
"camelcase","1.2.1","false","Previously pedigree reviewed","2","MIT","MIT","Approved","node_modules/camelcase"
"capture-stack-trace","1.0.0","false","Previously pedigree reviewed","2","","MIT","Approved | Reference Only","node_modules/capture-stack-trace"
"caseless","0.12.0","false","Previously pedigree reviewed","2","Apache-2.0","Apache-2.0","Approved","node_modules/caseless"
"center-align","0.1.3","false","Exempt - Version closely related to 0.1.1","2","MIT","MIT","Approved","node_modules/center-align"
"chainsaw","0.1.0","false","Previously pedigree reviewed","2","","","No license information available","node_modules/chainsaw"
"chalk","1.1.3","false","Exempt - Version closely related to 1.1.1","2","MIT","MIT","Approved","node_modules/chalk"
"class-extend","0.1.2","false","Exempt - Version closely related to 0.1.1","2","MIT","MIT","Approved","node_modules/class-extend"
"cli-cursor","1.0.2","false","Previously pedigree reviewed","2","MIT","MIT","Approved","node_modules/cli-cursor"
"cli-table","0.3.1","false","Previously pedigree reviewed","2","MIT","","Approved","node_modules/cli-table"
"cli-width","2.2.0","false","Exempt - Expected license matched","2","ISC","ISC","Approved","node_modules/cli-width"
"cliui","2.1.0","false","Previously pedigree reviewed","2","ISC","ISC","Approved","node_modules/cliui"
